,ResponseId,Q1,Q2,Q3,Q4,AI Trust Score
33,R_d0TuDNyjlg4PIdo,6,"$70,000 - $89,000",4 or more,Yes,23
34,R_3UABELONJYrLJlk,4,"$90,000 - $109,000",1,No,17
35,R_3kqRcxIwbMnjMgu,5,"$50,000 - $69,000",None,No,25
36,R_3qLLmPYTh52v2Bg,3,"$50,000 - $69,000",4 or more,No,28
37,R_e4zhobjuI2On0lo,2,"$0 - $9,999",3,Yes,31
38,R_eUM84GsZoGM3q3c,4,"$0 - $9,999",1,Yes,26
39,R_74obfcxux60M4SO,1,"$0 - $9,999",4 or more,Yes,23
40,R_b2A12gKY5yJbRBk,6,"$70,000 - $89,000",1,Yes,32
41,R_1HevsqJAIHDDlK6,5,"$30,000 - $49,000",4 or more,Yes,28
42,R_eyVEvtQuCyeojMa,5,"$0 - $9,999",3,No,23
43,R_8dzm2L2hMfErhEq,2,"$10,000 - $29,000",2,Yes,24
44,R_9nawOCH56Yj7Jlk,3,"$70,000 - $89,000",3,Yes,24
45,R_2uDMwR19qjMcB26,7,"$10,000 - $29,000",None,No,24
46,R_b2iBVMIs6Ng84tw,5,"$110,000 or more",None,No,25
47,R_0xFuoJ9NoonvMnc,5,"$30,000 - $49,000",2,No,25
48,R_bmejxHsgdkjbYMK,2,"$0 - $9,999",2,No,20
49,R_3elieEbqp67dpL8,6,"$30,000 - $49,000",1,No,22
50,R_8votweseaOF13mK,4,"$50,000 - $69,000",4 or more,Yes,27
51,R_3jxqfa2jTuUEq90,7,"$110,000 or more",3,No,26
52,R_3Erf5RuVOh805wy,7,"$110,000 or more",1,Yes,24
53,R_8IIkHRJc5eFk4bI,5,"$0 - $9,999",1,Yes,27
54,R_ehS68TRJDRSQuTI,5,"$50,000 - $69,000",1,Yes,32
55,R_7QCrk2IGp2kf7mu,7,"$110,000 or more",3,No,26
56,R_0VWPCK6mtaUjfKe,5,"$10,000 - $29,000",4 or more,No,17
57,R_eo0i3dfADJjTf26,7,"$70,000 - $89,000",2,No,25
58,R_5oRvwatyWLr2bNc,1,"$0 - $9,999",2,No,29
59,R_4ObfS1KS6OL37h4,6,"$10,000 - $29,000",None,No,30
60,R_b91s16McW4H6Kpg,5,"$10,000 - $29,000",None,No,20
61,R_1MRN1FByFrJYSQm,4,"$90,000 - $109,000",None,No,24
62,R_8dLl2cBnc8xNQDc,1,"$10,000 - $29,000",4 or more,Yes,24
63,R_aWBZU7JhKGUJpxs,1,"$30,000 - $49,000",3,Yes,28
64,R_bQQizGdYcCJW5oO,4,"$110,000 or more",1,Yes,18
65,R_26jRlAwuuqJSXcy,7,"$110,000 or more",3,Yes,23
66,R_3QWJitOdPORWR8i,7,"$50,000 - $69,000",None,No,22
67,R_0GLDcnP6AJ0XGWq,1,"$110,000 or more",2,Yes,27
68,R_0HA2Az8OzPXuPL8,6,"$70,000 - $89,000",None,Yes,30
69,R_cI985OEpjzIt9TE,6,"$0 - $9,999",1,No,19
70,R_1B39kmlHatzrNR4,1,"$10,000 - $29,000",2,No,21
71,R_9S8dn5NrCWkL17o,3,"$90,000 - $109,000",None,No,25
72,R_5b53iRfC6oWnGpU,1,"$0 - $9,999",None,No,23
73,R_9mpO4CL8p1aD92K,2,"$90,000 - $109,000",1,No,24
74,R_eIJ6lNMtZbcKePk,1,"$10,000 - $29,000",3,Yes,24
75,R_cvybF32v4eilOui,2,"$0 - $9,999",2,Yes,22
76,R_bxUPN0uyxWPmnTE,6,"$10,000 - $29,000",1,Yes,24
77,R_7WB7U2s693PmKKq,1,"$110,000 or more",2,No,25
78,R_0TxlHDW5a904FZI,3,"$70,000 - $89,000",None,Yes,24
79,R_3Egok7mRZ6p6zyK,6,"$50,000 - $69,000",1,Yes,24
80,R_1A39vtgwnqukku2,4,"$50,000 - $69,000",4 or more,No,19
81,R_0OHtS8i2GLjXEbk,5,"$110,000 or more",1,Yes,22
82,R_81X5BzmxYipNvzo,3,"$90,000 - $109,000",3,No,26
83,R_aVKYwqcjm5OVEB8,1,"$110,000 or more",3,No,33
84,R_06zkQaBHV1XjL7M,5,"$90,000 - $109,000",1,Yes,20
85,R_dm95FLnd8iRXwh0,2,"$10,000 - $29,000",2,Yes,20
86,R_9TYmwHuI89n8B70,2,"$110,000 or more",1,No,25
87,R_e98kZmQK6nGXByu,3,"$50,000 - $69,000",3,Yes,28
88,R_0CBVjnBCG9Ly00m,2,"$0 - $9,999",4 or more,No,26
89,R_cIs2r3P2iiAuG4C,4,"$90,000 - $109,000",3,No,23
90,R_7QFBVFfilEibf8y,2,"$30,000 - $49,000",1,No,25
91,R_8cQ9wtg4HQwjON8,2,"$10,000 - $29,000",2,Yes,22
92,R_6S8TRpfIQ1NSpYG,2,"$50,000 - $69,000",3,Yes,25
93,R_8iGO1JYsmjIJzym,1,"$90,000 - $109,000",4 or more,No,26
94,R_2b2T60ut5j0n5LU,4,"$70,000 - $89,000",4 or more,Yes,22
95,R_7Pz4wkkYXcRVedM,3,"$10,000 - $29,000",4 or more,No,25
96,R_3wIM7A6U7koMa7Y,1,"$0 - $9,999",2,Yes,29
97,R_6gH2RngcBwvORoi,2,"$110,000 or more",None,No,22
98,R_37PmTcCf8kRBrjE,1,"$70,000 - $89,000",3,No,25
99,R_2nRJ1scRKsOsqKa,7,"$10,000 - $29,000",3,Yes,21
100,R_6gKwhx8831zfCCO,2,"$90,000 - $109,000",2,Yes,26
101,R_55fpq2dEzwitwfY,7,"$30,000 - $49,000",3,Yes,23
102,R_4IQCPTI58frQWrQ,4,"$70,000 - $89,000",3,Yes,27
103,R_dnkuREIeie9CCUe,2,"$0 - $9,999",1,No,22
104,R_3yBMxecxft9b9T8,6,"$90,000 - $109,000",1,No,25
105,R_cByYIztlK3Fp0Ro,6,"$70,000 - $89,000",None,Yes,24
106,R_bJDyXDHImbawf5A,4,"$90,000 - $109,000",4 or more,No,21
107,R_018ElNk1vAjHd2e,2,"$10,000 - $29,000",3,No,16
108,R_eX3QBrE9ce97poa,7,"$30,000 - $49,000",3,Yes,25
109,R_1ENHMBVI9D03qM6,6,"$0 - $9,999",3,No,27
110,R_0rpAmdCOKF8VLiC,7,"$10,000 - $29,000",4 or more,Yes,24
111,R_1zUUJg6npBJ5AJo,4,"$90,000 - $109,000",1,No,24
112,R_eaIdIVHjvzynvr8,5,"$0 - $9,999",1,No,23
113,R_9MmMqf0oMlDeVW6,3,"$70,000 - $89,000",3,No,25
114,R_5z0ZilDiEgNefem,7,"$70,000 - $89,000",3,Yes,22
115,R_6YiX356x2N0yf5k,6,"$70,000 - $89,000",3,Yes,28
116,R_eyfsEGT7SCSR9SC,7,"$50,000 - $69,000",1,No,23
117,R_40EGClbmbDTLKfA,4,"$90,000 - $109,000",4 or more,Yes,25
118,R_cJd9xMxBs9olGHc,7,"$0 - $9,999",None,No,23
119,R_88kdEYMxQnXBPyC,4,"$50,000 - $69,000",1,No,23
120,R_eEFpC1bWVlubEY6,7,"$50,000 - $69,000",None,No,24
121,R_eFeEKsahlRWSSa2,6,"$50,000 - $69,000",4 or more,No,21
122,R_3Jo1gWeVxtiRvtY,4,"$30,000 - $49,000",None,No,24
123,R_1Bziokzbu3K7MhM,3,"$30,000 - $49,000",1,Yes,21
124,R_2bhZtPSrWW2PcN0,6,"$50,000 - $69,000",2,No,22
125,R_6sX1pNHBw3iFwfY,2,"$10,000 - $29,000",1,Yes,17
126,R_5gTA4XXhEm7M4rc,2,"$110,000 or more",None,Yes,22
127,R_8cSBZmBZJXg6svQ,7,"$30,000 - $49,000",4 or more,Yes,23
128,R_2nMiKATaO9hcvnU,3,"$10,000 - $29,000",None,Yes,26
129,R_bD89OJDDCbLwLNI,7,"$0 - $9,999",1,No,23
130,R_2oEg5Us1yQHquDc,3,"$110,000 or more",3,No,26
131,R_5jP07oZBLEG2Tno,1,"$30,000 - $49,000",None,Yes,26
132,R_0q7b2BMIkbLNE2O,3,"$0 - $9,999",1,Yes,27
133,R_b3mjTWAR91nr40e,4,"$0 - $9,999",2,Yes,25
134,R_6KbEk0dti9i4nBA,3,"$0 - $9,999",None,No,22
135,R_cZNT7Fma0UrKnUG,1,"$10,000 - $29,000",None,Yes,18
136,R_0rcTFhN5vNZWqAm,6,"$90,000 - $109,000",None,Yes,18
137,R_7QARoi3AGUp3Xim,7,"$110,000 or more",2,No,23
138,R_bforpZRzkoGnTRY,7,"$50,000 - $69,000",3,Yes,25
139,R_6Wsyh38WF1IN73E,2,"$70,000 - $89,000",1,Yes,26
140,R_6RR4bx7kzu5OOnY,3,"$90,000 - $109,000",1,No,21
141,R_0Baovq865kDuBHo,2,"$70,000 - $89,000",4 or more,No,23
142,R_8cfnfB6hox3Prca,2,"$70,000 - $89,000",4 or more,Yes,22
143,R_8qT2v4pnaZytfLw,1,"$90,000 - $109,000",4 or more,No,15
144,R_832f2jpElfgSmKG,5,"$110,000 or more",1,Yes,22
145,R_ahFBonMJzUj5G5M,1,"$70,000 - $89,000",2,No,25
146,R_6G56LUfvI525Vj0,6,"$110,000 or more",4 or more,Yes,26
147,R_cSAJRKX6IBbzw7I,2,"$50,000 - $69,000",4 or more,Yes,16
148,R_5zrwddROMmzykaW,2,"$110,000 or more",4 or more,No,18
149,R_2sZjiWCWaS31HMy,5,"$50,000 - $69,000",1,No,28
150,R_6nEYOvbdj3nnq9E,3,"$30,000 - $49,000",4 or more,No,21
151,R_3n6XaWCFu3hYp8O,6,"$0 - $9,999",1,Yes,23
152,R_9SspbbGvQNiW7LE,2,"$50,000 - $69,000",3,No,28
153,R_erl8mCMRnG7bZX0,7,"$110,000 or more",None,Yes,25
154,R_bCKO70kZySmOMey,5,"$90,000 - $109,000",None,No,19
155,R_3w092iSsQNbsHky,4,"$30,000 - $49,000",1,No,25
156,R_dglkQtrVSGj0iBE,6,"$110,000 or more",1,Yes,24
157,R_eRNqOzCs187Xfds,5,"$50,000 - $69,000",1,Yes,19
158,R_0JUfncVWRYUDeWa,1,"$70,000 - $89,000",2,Yes,19
159,R_8rbEp5C76ytoIV8,5,"$30,000 - $49,000",4 or more,No,29
160,R_cIMHb3BA2GyoNwO,1,"$90,000 - $109,000",1,No,30
161,R_d5twv0oiY3hzKNE,7,"$70,000 - $89,000",3,Yes,23
162,R_cCo8xYXHVZsVvQG,5,"$110,000 or more",2,No,31
163,R_6r6tG6Hs7pRgRJI,5,"$110,000 or more",2,No,25
164,R_1F7QzcL7zSYw1FA,7,"$50,000 - $69,000",2,No,18
165,R_5BaCVwyD8T2rAZo,4,"$50,000 - $69,000",1,Yes,29
166,R_79FNKsHfpCRXDOC,5,"$10,000 - $29,000",3,Yes,30
167,R_3sihe6Kny7qn2u2,5,"$70,000 - $89,000",None,No,27
168,R_8CIylMGrXDwbhRQ,4,"$0 - $9,999",2,Yes,28
169,R_0qde28CLtvo61Se,2,"$0 - $9,999",1,No,27
170,R_7QcOJNNcWRU0NBY,3,"$30,000 - $49,000",1,No,21
171,R_5juiWixbaSFZAoe,6,"$30,000 - $49,000",1,Yes,24
172,R_bBmqIGOatZeUCsS,1,"$0 - $9,999",3,Yes,16
173,R_eqzSnyqG8jXeIbs,2,"$30,000 - $49,000",4 or more,Yes,22
174,R_78I04pAMUaIhFEa,5,"$0 - $9,999",3,Yes,29
175,R_5pOfjD3FTy7PVvo,4,"$90,000 - $109,000",3,Yes,21
176,R_6SANxo8UZjpnSMC,1,"$30,000 - $49,000",1,No,29
177,R_1QZZSOJ4F0q3NEq,2,"$30,000 - $49,000",3,No,21
178,R_1MPhLHCeHH5CcDQ,4,"$70,000 - $89,000",3,Yes,21
179,R_eXbnbkvw7VQT3xA,6,"$90,000 - $109,000",2,No,19
180,R_3U86uoYM38gNsb4,2,"$110,000 or more",1,No,25
181,R_a4aaM55mvawBoYm,4,"$90,000 - $109,000",2,No,25
182,R_8qtUavN0SJr9o6W,7,"$30,000 - $49,000",4 or more,Yes,26
183,R_3Ko6X0hjyrVeNMO,5,"$50,000 - $69,000",3,Yes,25
184,R_a9r8fhMaJ5RIUJ0,1,"$0 - $9,999",2,No,24
185,R_8lkIOESUB6MLZ1s,7,"$70,000 - $89,000",1,Yes,22
186,R_9MJLFvhvbfsxmJ0,2,"$30,000 - $49,000",1,No,33
187,R_dgxODRSodMNMBsG,2,"$30,000 - $49,000",None,Yes,24
188,R_9SmsVfzPuP91dFc,1,"$70,000 - $89,000",1,No,24
189,R_eLpjd8AOYVxIH0q,2,"$10,000 - $29,000",None,Yes,30
190,R_0fGcmVWhg3UMbt4,6,"$30,000 - $49,000",None,Yes,27
191,R_55RWGaIL9U90RSu,7,"$70,000 - $89,000",2,No,23
192,R_9yq4LLb0f033cdE,5,"$110,000 or more",2,Yes,33
193,R_2mkJ5hjzVscvf4q,5,"$90,000 - $109,000",None,Yes,15
194,R_4P0ibQMszM32uNw,7,"$10,000 - $29,000",None,Yes,25
195,R_0rJasOqBsMHteV8,7,"$0 - $9,999",None,Yes,18
196,R_3PgDlMA0dSkz3HU,7,"$30,000 - $49,000",3,Yes,15
197,R_e5HDHMsnSUxHy8C,3,"$10,000 - $29,000",2,Yes,25
198,R_0j3ebvDGVASBVae,3,"$50,000 - $69,000",2,No,16
199,R_8xplwcBQ6D9xdgq,6,"$10,000 - $29,000",2,Yes,24
200,R_0c5PllP8h9a2QEC,5,"$50,000 - $69,000",4 or more,No,23
201,R_0iBTHhFrPoqiejQ,3,"$10,000 - $29,000",1,No,29
202,R_bwGwrHxGVHXyTgq,1,"$90,000 - $109,000",3,Yes,29
203,R_5hitchUvfXw43eC,2,"$90,000 - $109,000",None,No,20
204,R_8nXTJkRhkBiMXJ4,2,"$0 - $9,999",3,No,28
205,R_a3H3jaWd3MkCMhE,1,"$90,000 - $109,000",3,No,29
206,R_2fpwdbYbboLD2hU,1,"$90,000 - $109,000",3,Yes,20
207,R_bD68LY8N7bUzjQG,6,"$10,000 - $29,000",1,Yes,23
208,R_5sClBuo4k2m16h8,1,"$30,000 - $49,000",1,Yes,15
209,R_b2D7So2XDaWPJ6C,5,"$30,000 - $49,000",None,Yes,30
210,R_3VL3Np8mzbolPT0,5,"$50,000 - $69,000",None,Yes,24
211,R_9ofRveJmUSLbx42,7,"$70,000 - $89,000",3,No,30
212,R_0ig26G4qrvnpq5M,5,"$90,000 - $109,000",2,No,21
213,R_6EWQ6zs9BkXeqCW,2,"$0 - $9,999",2,Yes,32
214,R_2bj1dAggWO55if4,4,"$0 - $9,999",3,Yes,23
215,R_9nIVtXh4XY9GnHg,3,"$70,000 - $89,000",None,No,27
216,R_a2Gz44tRBM6turs,7,"$0 - $9,999",None,No,28
217,R_50T0H9eSU6NSnXg,4,"$50,000 - $69,000",1,Yes,26
218,R_byphwn1M5YpgtNQ,1,"$90,000 - $109,000",2,No,25
219,R_3mhOAY2FZYwko9E,6,"$110,000 or more",1,No,27
220,R_e4FoEu8dfVIvGEm,4,"$70,000 - $89,000",2,Yes,25
221,R_71WgCOu3jnticey,2,"$10,000 - $29,000",3,No,26
222,R_3L4LEMbzWDPPiT4,1,"$30,000 - $49,000",None,No,26
223,R_9mEN5NhLaYK8GmW,6,"$90,000 - $109,000",4 or more,Yes,23
224,R_3QTKkyDC6XqrHw2,5,"$90,000 - $109,000",2,No,22
225,R_7P46E2NQ951Njoi,2,"$0 - $9,999",1,Yes,31
226,R_9RdeyCwcdTJOhyS,1,"$90,000 - $109,000",None,No,28
227,R_a3QWEfEv9tda6vs,1,"$90,000 - $109,000",None,No,22
228,R_cYhi56F8J26IRqS,7,"$70,000 - $89,000",None,No,18
229,R_2iyIWo6FsoGUDm6,1,"$50,000 - $69,000",4 or more,No,27
230,R_0CHlY15RPVVc0NE,1,"$0 - $9,999",1,Yes,28
231,R_eScL4mcypVH6vSC,4,"$50,000 - $69,000",3,Yes,26
232,R_efA8wubDsqTCbQi,6,"$10,000 - $29,000",None,Yes,26
233,R_0ijZENuRu1yRyaa,1,"$0 - $9,999",3,Yes,20
234,R_ehRlr5mIaWIQajQ,3,"$70,000 - $89,000",2,No,26
235,R_8HRAEIcN9iJYVRI,3,"$10,000 - $29,000",1,Yes,21
236,R_bORCv6ZuZtwWSYC,2,"$70,000 - $89,000",1,No,23
237,R_agWqPmkYI1HcqMu,6,"$70,000 - $89,000",2,Yes,19
238,R_8jGHdhCq6YrHZJA,2,"$50,000 - $69,000",1,Yes,26
239,R_7agAf0KxFek8e0u,7,"$110,000 or more",3,Yes,22
240,R_9BTYPolFFnx87Hw,6,"$0 - $9,999",2,Yes,34
241,R_eRSckLQQNYTHut0,6,"$30,000 - $49,000",None,No,27
242,R_cHcxx5usd2bQ8Si,7,"$110,000 or more",1,No,24
243,R_ezhBJmrbXxK12T4,6,"$0 - $9,999",4 or more,No,22
244,R_9sM3NSqYNjPdZUG,1,"$0 - $9,999",1,No,23
245,R_8AgeBd6Q20QjmAu,3,"$70,000 - $89,000",1,Yes,23
246,R_2sZeX5UgtdQaer4,5,"$10,000 - $29,000",4 or more,Yes,28
247,R_4VLxDAK7ev2grWu,2,"$30,000 - $49,000",2,Yes,24
248,R_eeNNPao9cIqQftk,5,"$50,000 - $69,000",None,Yes,29
249,R_3lN1lARfjX2uN6e,2,"$70,000 - $89,000",2,No,17
250,R_1AkIbSy04auDxqu,1,"$90,000 - $109,000",3,Yes,18
251,R_57Pm4QbY9FAw7k2,5,"$90,000 - $109,000",3,Yes,23
252,R_bBnmPP2E7EnVqLA,1,"$0 - $9,999",2,Yes,27
253,R_cU7vMzbQtMvU03I,5,"$90,000 - $109,000",4 or more,No,20
254,R_eh79wWXcrfb2LJQ,2,"$10,000 - $29,000",None,Yes,24
255,R_9yT6z5ZuNLfgMEm,5,"$110,000 or more",4 or more,Yes,30
256,R_4Ynpk1YnV4WkUC2,5,"$30,000 - $49,000",3,Yes,23
257,R_e3SXnbbK1T7M3Fc,3,"$0 - $9,999",3,Yes,20
258,R_6EbnJ5iUhAoSdzo,7,"$110,000 or more",1,No,29
259,R_2lR5lplGrb5sA86,6,"$90,000 - $109,000",2,No,21
260,R_bEoCpt7cUL6Yxhk,6,"$0 - $9,999",1,Yes,24
261,R_1RhVF4gjGp8jQEe,3,"$30,000 - $49,000",None,Yes,24
262,R_a5ezXp8HtQGnqbs,6,"$110,000 or more",2,No,24
263,R_6GbZo7mJTZ9x6S2,7,"$90,000 - $109,000",2,No,24
264,R_aUYuP6AlKoWvv94,1,"$30,000 - $49,000",4 or more,Yes,27
265,R_1GmmcEkhY2dwFf0,1,"$110,000 or more",None,Yes,28
266,R_8AfSeIYakPlveOa,4,"$50,000 - $69,000",2,No,20
267,R_9mmLrgV6SVCDn5Y,1,"$110,000 or more",1,Yes,21
268,R_3EQ1N8GfM9bYFmK,6,"$50,000 - $69,000",2,Yes,24
269,R_2f56Tv45rhvjJtA,7,"$90,000 - $109,000",1,No,21
270,R_eqDU2iH5E9ws2Am,6,"$0 - $9,999",3,No,22
271,R_8wdt7IR0nlWIX4i,3,"$10,000 - $29,000",2,No,27
272,R_etSvmQEpQa2JODA,5,"$70,000 - $89,000",1,No,27
273,R_88NDwTwwzPtHu4e,7,"$50,000 - $69,000",3,Yes,22
274,R_0rhqsV8p4pi8AiG,2,"$70,000 - $89,000",3,Yes,25
275,R_b9FqmY37FQedE8e,4,"$50,000 - $69,000",4 or more,Yes,18
276,R_b87StkA4XhxdRGe,4,"$110,000 or more",3,No,18
277,R_8CYLsdf0123Q474,3,"$70,000 - $89,000",1,Yes,26
278,R_czRk9n5u55ESkn4,3,"$90,000 - $109,000",4 or more,No,30
279,R_6sMujnp8vEcepVk,3,"$10,000 - $29,000",1,No,25
280,R_2a9bKBowGzzndeC,1,"$10,000 - $29,000",1,No,30
281,R_eULG8nw6zbBFYFg,2,"$30,000 - $49,000",3,No,29
282,R_2ltXU2vuNoufjP8,2,"$90,000 - $109,000",4 or more,Yes,26
283,R_beW1ZlWEsySMDtk,1,"$110,000 or more",None,Yes,27
284,R_1SOUQ2XESH0nRWe,4,"$10,000 - $29,000",None,No,12
285,R_3WNUWmQPRuXteCy,2,"$110,000 or more",2,No,25
286,R_55OEb2pq62I3cy2,5,"$0 - $9,999",2,No,26
287,R_8wW8wT6d2WfgJqC,4,"$50,000 - $69,000",None,Yes,23
288,R_3Rh7USLN5xw3wq2,2,"$10,000 - $29,000",3,Yes,24
289,R_6nkIBDi86THu6R8,2,"$110,000 or more",4 or more,Yes,21
290,R_e9yiOYTscR7nFvo,4,"$110,000 or more",4 or more,No,23
291,R_73Ar44mKBQ1VzjE,3,"$90,000 - $109,000",2,Yes,24
292,R_diZ2NgpZnmxW0n4,7,"$110,000 or more",None,Yes,26
293,R_4UUtuVcL5nWV2U6,2,"$30,000 - $49,000",1,No,23
294,R_cUs9TG3NMcNUors,2,"$30,000 - $49,000",None,No,21
295,R_e2SE0EMPxVkdpHg,4,"$10,000 - $29,000",4 or more,No,29
296,R_4ImOxnHYOi869ro,4,"$90,000 - $109,000",1,No,21
297,R_79AdrKBkrBtqhoy,6,"$110,000 or more",2,No,19
298,R_3V3BpczyaNqtnVk,6,"$90,000 - $109,000",2,Yes,25
299,R_3I2JDZRTCJFaVEy,7,"$70,000 - $89,000",3,Yes,20
300,R_0oC224duOGT1QR8,1,"$90,000 - $109,000",2,Yes,25
301,R_9Ks1xJ5LCS9ndJA,1,"$70,000 - $89,000",1,Yes,19
302,R_9GOYBvrII9K35n8,6,"$30,000 - $49,000",None,No,27
303,R_3fVP6NcPNeFf1Ou,5,"$50,000 - $69,000",3,No,22
304,R_bQrC60MNvhLrKXs,1,"$10,000 - $29,000",3,No,26
305,R_bw5X7gzoiefA7b0,3,"$0 - $9,999",2,Yes,23
306,R_dokLY0ZUVP5FH38,7,"$90,000 - $109,000",3,No,19
307,R_3jRNYt1kWXCDJdQ,7,"$10,000 - $29,000",None,No,28
308,R_9H7Fag32SAlozOu,3,"$110,000 or more",4 or more,No,26
309,R_3WOVg5bs1HOB3mu,7,"$0 - $9,999",3,Yes,25
310,R_9Epm8AMAcagWzIO,6,"$10,000 - $29,000",None,No,20
311,R_71Bd3QYFJ5totYG,5,"$30,000 - $49,000",None,No,22
312,R_82DVowGnYT1TII6,3,"$30,000 - $49,000",2,Yes,22
313,R_9uZGUe6sAexqheK,1,"$10,000 - $29,000",None,Yes,25
314,R_2aH2HmOtlbV1wc6,5,"$30,000 - $49,000",4 or more,Yes,23
315,R_4SpCjqRw1igOgQe,1,"$50,000 - $69,000",3,Yes,24
316,R_8hMqECcUHuILK5w,3,"$110,000 or more",1,Yes,15
317,R_ewFR4fOI0zON1gW,3,"$0 - $9,999",None,No,19
318,R_aVrB93hTyb3O5ZY,3,"$90,000 - $109,000",1,No,19
319,R_0qxrhY4XpsQ08Qu,3,"$70,000 - $89,000",None,No,32
320,R_cORn7EgE7mQbpcy,1,"$30,000 - $49,000",3,Yes,29
321,R_0w8I232gyph8EqW,5,"$30,000 - $49,000",4 or more,Yes,26
322,R_0rfMjbQMvDyUwLQ,2,"$90,000 - $109,000",1,Yes,26
323,R_0T9lUtSzQEqorPM,2,"$30,000 - $49,000",1,Yes,29
324,R_8CdKmrHQHsYmlIa,1,"$30,000 - $49,000",1,Yes,23
325,R_9oGVgJXpc0oN5wa,4,"$90,000 - $109,000",3,Yes,31
326,R_7OPO1kpyd6ZPNfU,1,"$70,000 - $89,000",4 or more,Yes,31
327,R_3fLE4UGpHb2lGT4,7,"$90,000 - $109,000",None,Yes,27
328,R_aW33cAcL8jc24aa,6,"$50,000 - $69,000",4 or more,No,31
329,R_6mSG8Fr6BTsDOQe,3,"$70,000 - $89,000",3,No,21
330,R_bK1a6KhnuyLevaK,5,"$70,000 - $89,000",3,Yes,18
331,R_b2UWSHTPCyxgdMO,6,"$50,000 - $69,000",4 or more,Yes,25
332,R_7VwSLwibYSn0v6S,7,"$70,000 - $89,000",None,Yes,18
333,R_6VEnx1FzxHcpew6,5,"$30,000 - $49,000",4 or more,No,23
334,R_6XVCkHSrSwCWqi2,1,"$10,000 - $29,000",1,No,30
335,R_5uKAk13ID0MiBPU,6,"$70,000 - $89,000",4 or more,No,36
336,R_0MMCkM6WjIy3RpI,6,"$90,000 - $109,000",4 or more,Yes,32
337,R_bl4cJbI1D0vGNMi,4,"$50,000 - $69,000",1,No,18
338,R_4SFMnI19oW6imVw,1,"$90,000 - $109,000",None,No,23
339,R_bNNIVaLJVagFKGW,7,"$50,000 - $69,000",4 or more,Yes,25
340,R_8ea1UjmhTnNRehU,5,"$0 - $9,999",3,Yes,27
341,R_8BaU04kK7P633aS,2,"$50,000 - $69,000",2,Yes,24
342,R_e9W0Lt4rUlQk0Zg,4,"$0 - $9,999",1,No,30
343,R_9SmviZhEJGPaD7E,1,"$50,000 - $69,000",3,No,24
344,R_3OTMpgiUVyHK4Fo,5,"$90,000 - $109,000",None,Yes,17
345,R_3EmLpyR4Y95Lwh0,7,"$90,000 - $109,000",4 or more,No,28
346,R_0CKx3CQlul1NXLw,6,"$50,000 - $69,000",3,Yes,31
347,R_0rMPE3rRGPb3RlQ,7,"$110,000 or more",3,No,27
348,R_0CwP109MU2jxJfo,7,"$0 - $9,999",3,No,18
