ResponseId,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1
R_aftFLLB6RZisPb0,17 or younger,"$10,000 - $29,000",4 or more,Yes,Strongly agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly agree,Strongly agree,1820
R_8kbIAupZz2xBSiW,30-39,"$30,000 - $49,000",3,Yes,Strongly Disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,780
R_bw5L3WR61gl0KFw,60 or older,"$70,000 - $89,000",1,No,Somewhat agree,Strongly Disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,1340
R_b2W2AxywGdyxDMy,40-49,"$50,000 - $69,000",3,No,Strongly Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,1940
R_0IXoDys97b7uNBY,17 or younger,"$90,000 - $109,000",3,Yes,Strongly Disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,1120
R_5p3AQMVhPaaLPyC,40-49,"$50,000 - $69,000",1,No,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Disagree,320
R_6gLr0xyyXHrHllQ,50-59,"$10,000 - $29,000",None,Yes,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,1080
R_6KzWUktQX2ngWkC,40-49,"$70,000 - $89,000",4 or more,Yes,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,960
R_25zhZxcmYREUKeq,60 or older,"$0 - $9,999",3,Yes,Strongly agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,1620
R_engLNoaHYZhyGnY,17 or younger,"$0 - $9,999",4 or more,Yes,Strongly Disagree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,60
R_7QU3kgex2HRvDAa,40-49,"$90,000 - $109,000",2,No,Somewhat agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,1540
R_cGgsWrSTr9q1B0a,60 or older,"$0 - $9,999",2,No,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,1780
R_cJ7yNBJGMINPD7g,40-49,"$0 - $9,999",None,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,20
R_57jjcrTqqp5Ue90,40-49,"$70,000 - $89,000",None,Yes,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly agree,Strongly agree,Somewhat disagree,1380
R_2c4cAOvjY6uuu4S,30-39,"$10,000 - $29,000",2,No,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Somewhat agree,1900
R_eeXAEDEOloS1NRA,18-20,"$110,000 or more",3,Yes,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,1140
R_37O2qDFomeUMObA,18-20,"$50,000 - $69,000",None,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,200
R_5zIZQdQS2xHycK2,60 or older,"$10,000 - $29,000",4 or more,No,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,940
R_0TzZAkuqvqbJMEu,18-20,"$110,000 or more",2,Yes,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,200
R_cUvm6Iv4D90w8n4,30-39,"$70,000 - $89,000",4 or more,No,Strongly agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat disagree,540
R_74hmF9SHqNEEI6i,30-39,"$70,000 - $89,000",2,Yes,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,40
R_2uzdRNwJIT0q9Xo,50-59,"$0 - $9,999",1,No,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly agree,Somewhat agree,1120
R_7WdMAfiiweIdBxI,17 or younger,"$0 - $9,999",None,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,100
R_e9BMBz5LefqX1To,40-49,"$50,000 - $69,000",4 or more,No,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,1760
R_bEDlu2kLThreXkO,50-59,"$0 - $9,999",None,No,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,1520
R_77CIN9OGMrso4Um,18-20,"$110,000 or more",None,Yes,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,760
R_3xTxIQVToK1eSh0,50-59,"$10,000 - $29,000",2,Yes,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,1680
R_5thFWehB6VencO2,40-49,"$10,000 - $29,000",3,Yes,Strongly Disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,660
R_74LMxphKoSfGUiW,60 or older,"$110,000 or more",None,Yes,Somewhat agree,Strongly Disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,1880
R_cSGycYqfQHn5nr8,17 or younger,"$70,000 - $89,000",4 or more,No,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,1340
R_bxsL1ii2fKcYULQ,17 or younger,"$0 - $9,999",None,No,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,420
R_eg7vybskYvL77GS,40-49,"$110,000 or more",3,Yes,Strongly Disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,1580
R_eL0aSNWtKXiX4yy,30-39,"$90,000 - $109,000",2,No,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,120
R_0OhJXhY7slyLRFc,30-39,"$30,000 - $49,000",2,No,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,20
R_77FDyH7miftnmCi,40-49,"$50,000 - $69,000",2,No,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,1420
R_eXN3Uop2u7zUnEW,50-59,"$30,000 - $49,000",2,No,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly Disagree,Somewhat disagree,1600
R_0psFTZEwQMEd0hw,50-59,"$10,000 - $29,000",3,Yes,Strongly Disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly Disagree,1440
R_8Iyhl6OuKIA8kt0,17 or younger,"$90,000 - $109,000",3,No,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,800
R_exHw2Ttxd6p0Xoa,60 or older,"$110,000 or more",3,No,Strongly agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,700
R_eKzIg2SbcICBm7k,60 or older,"$0 - $9,999",2,No,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat disagree,1620
R_0wxt96PChfkL64u,40-49,"$30,000 - $49,000",4 or more,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,420
R_7OQx8qcTkp45KFU,60 or older,"$70,000 - $89,000",4 or more,Yes,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,1840
R_afbUwlUFHuvcWCG,50-59,"$30,000 - $49,000",2,No,Strongly Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,1300
R_3qu7PJIxR3AsbTo,60 or older,"$70,000 - $89,000",3,No,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,560
R_ctEui5RKY52GrnE,40-49,"$110,000 or more",None,No,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,820
R_8qB2eqpt1zOFM9M,40-49,"$90,000 - $109,000",4 or more,Yes,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,1620
R_5vWUQukwmuGRRAi,40-49,"$50,000 - $69,000",None,No,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,1200
R_6y7166wO7AZwHUa,40-49,"$0 - $9,999",None,No,Strongly Disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,280
R_8qOizAMPxScnMPQ,50-59,"$110,000 or more",3,No,Strongly agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat agree,2000
R_8e1wmgeB5kfYZkW,50-59,"$10,000 - $29,000",2,No,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,1240
R_0xLI1moiaJHrWQu,21-29,"$10,000 - $29,000",None,Yes,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly Disagree,880
R_6JPJqC9iyEWRmey,40-49,"$0 - $9,999",3,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat agree,1380
R_4IApMnmdmPj2ihM,30-39,"$90,000 - $109,000",None,Yes,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,460
R_bfkJpX2hHkmjEOi,18-20,"$110,000 or more",3,Yes,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,1080
R_0SvRTfZMeJpvrXE,30-39,"$90,000 - $109,000",1,Yes,Strongly agree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,660
R_55CxI1ax3ogZSxE,17 or younger,"$0 - $9,999",None,Yes,Somewhat agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Somewhat agree,Somewhat disagree,2000
R_2cb5q9Hy8UzfTbo,50-59,"$70,000 - $89,000",None,Yes,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,520
R_5nY4y7zg8gajlRA,40-49,"$10,000 - $29,000",3,No,Somewhat disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Somewhat disagree,Somewhat disagree,1380
R_0NWw72peKjImmAm,17 or younger,"$0 - $9,999",None,No,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,1880
R_4GFFzYd9NGdi6Hk,21-29,"$30,000 - $49,000",1,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Disagree,360
R_bCNNYceXHtNVY6a,60 or older,"$50,000 - $69,000",4 or more,Yes,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,1760
R_3zcci9RuM1frUz4,18-20,"$70,000 - $89,000",4 or more,No,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,1160
R_behEU2J8r4IfeDA,21-29,"$10,000 - $29,000",2,Yes,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly Disagree,1900
R_cOL9R3JKnwaQxW6,60 or older,"$90,000 - $109,000",None,Yes,Strongly Disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat disagree,2000
R_85OlbIIPBzLgPYO,17 or younger,"$90,000 - $109,000",None,No,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,60
R_8i6nvo6csyqyg3c,50-59,"$10,000 - $29,000",3,No,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,1340
R_3l0H9aNYlLEvlpc,21-29,"$70,000 - $89,000",1,No,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,580
R_3HSQZKUMwE0VVGe,40-49,"$50,000 - $69,000",4 or more,No,Strongly Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly Disagree,1960
R_720I1BXtUSwApOS,21-29,"$70,000 - $89,000",None,No,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,40
R_0w73amNc3QvAODc,30-39,"$10,000 - $29,000",None,No,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,180
R_5hdUykEBbdZ6NX8,50-59,"$110,000 or more",None,No,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly agree,Strongly agree,Somewhat disagree,540
R_eUQxLxvhc6PxywC,50-59,"$0 - $9,999",None,Yes,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,1840
R_e3yqhQvj0aerwPQ,17 or younger,"$70,000 - $89,000",2,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,80
R_6yhtvMkCzEs2hro,50-59,"$70,000 - $89,000",3,No,Strongly agree,Strongly Disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,1260
R_a9PYTdnGSHqt2yW,40-49,"$10,000 - $29,000",1,No,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,400
R_9vEcgQwjYzC3ACG,18-20,"$10,000 - $29,000",4 or more,No,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,1640
R_0GRv94E23h9aYTQ,30-39,"$110,000 or more",3,Yes,Strongly agree,Somewhat agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Somewhat disagree,960
R_6W4MXQyNcBJKRtY,60 or older,"$50,000 - $69,000",4 or more,No,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,680
R_ey9SdnXiXarw6p0,50-59,"$10,000 - $29,000",4 or more,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,500
R_erMScuC08bAgbAi,60 or older,"$50,000 - $69,000",2,No,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat disagree,Strongly Disagree,1260
R_6tEU7s1RoAoqFgy,60 or older,"$70,000 - $89,000",4 or more,No,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,1280
R_b8vAcrylShjtOuy,18-20,"$10,000 - $29,000",None,Yes,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,1460
R_2mdlOXhgkctEvUW,40-49,"$90,000 - $109,000",3,Yes,Strongly Disagree,Somewhat disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,1480
R_85QuqXZKJlXSSIS,18-20,"$10,000 - $29,000",1,Yes,Somewhat agree,Strongly Disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly Disagree,100
R_0Nfr0XJYwCQpDcq,60 or older,"$10,000 - $29,000",1,No,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,1300
R_6AkZoDhL3hRmv8G,21-29,"$30,000 - $49,000",1,No,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,180
R_bqqyvXtkCRrHWpE,17 or younger,"$110,000 or more",1,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,1600
R_0PWqGFcqsfbV6ho,60 or older,"$50,000 - $69,000",None,No,Somewhat disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,980
R_e2wvwIlLw8KUlTg,60 or older,"$30,000 - $49,000",None,Yes,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,1440
R_bvm1QwvazXEEZEi,50-59,"$0 - $9,999",2,No,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,1440
R_2smZsM9OGhLyrQi,60 or older,"$10,000 - $29,000",3,No,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,1760
R_2612VdojJQpBzh4,18-20,"$70,000 - $89,000",2,No,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,940
R_6G83rnvZIjECrae,40-49,"$70,000 - $89,000",4 or more,No,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,300
R_cwsQMklxD63ZHoi,40-49,"$30,000 - $49,000",3,No,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly agree,Strongly agree,1420
R_0OpOOzSB2V3TDXo,40-49,"$90,000 - $109,000",1,Yes,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,320
R_eEyaljAe4uV8CxM,60 or older,"$110,000 or more",None,Yes,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,1160
R_cRTXGzHOz52bmcK,50-59,"$10,000 - $29,000",2,No,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1600
R_88Gwc2RDnYqLk4C,40-49,"$50,000 - $69,000",2,Yes,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,1340
R_5d7dCRPk9oPNMI6,30-39,"$110,000 or more",None,No,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,1020
R_9RjGIwWRvDFtOzc,30-39,"$50,000 - $69,000",2,No,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,1260
R_bDwsVcXr153eMrI,60 or older,"$110,000 or more",1,No,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,460
R_5pqBjvUDPvz8AyW,18-20,"$10,000 - $29,000",None,Yes,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,100
