StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
2023-11-22 12:39:03,2023-11-22 12:39:03,Survey Test,*******,100,0,True,2023-11-22 12:39:03,R_ePXhEnI9BMWhpcO,*******,*******,*******,*******,*******,*******,test,,40-49,"$90,000 - $109,000",3,No,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
2023-11-22 12:39:03,2023-11-22 12:39:03,Survey Test,*******,100,0,True,2023-11-22 12:39:03,R_eQK0W8ltE75fXsG,*******,*******,*******,*******,*******,*******,test,,21-29,"$90,000 - $109,000",4 or more,Yes,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat agree
2023-11-22 12:39:04,2023-11-22 12:39:04,Survey Test,*******,100,0,True,2023-11-22 12:39:04,R_cJdfCdFdvv4ekse,*******,*******,*******,*******,*******,*******,test,,50-59,"$10,000 - $29,000",3,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
2023-11-22 12:39:04,2023-11-22 12:39:04,Survey Test,*******,100,0,True,2023-11-22 12:39:04,R_7TYBYXOWqZeDoXA,*******,*******,*******,*******,*******,*******,test,,50-59,"$0 - $9,999",4 or more,Yes,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly agree
2023-11-22 12:39:04,2023-11-22 12:39:04,Survey Test,*******,100,0,True,2023-11-22 12:39:04,R_6mSWubWGY6hEBQq,*******,*******,*******,*******,*******,*******,test,,18-20,"$50,000 - $69,000",None,No,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
2023-11-22 12:39:04,2023-11-22 12:39:04,Survey Test,*******,100,0,True,2023-11-22 12:39:05,R_e2uyw9RPk2VxqK2,*******,*******,*******,*******,*******,*******,test,,50-59,"$30,000 - $49,000",4 or more,Yes,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
2023-11-22 12:39:05,2023-11-22 12:39:05,Survey Test,*******,100,0,True,2023-11-22 12:39:05,R_9BLvRhjJaDtbwGi,*******,*******,*******,*******,*******,*******,test,,18-20,"$10,000 - $29,000",3,Yes,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2023-11-22 12:39:05,2023-11-22 12:39:05,Survey Test,*******,100,0,True,2023-11-22 12:39:05,R_d0TuDNyjlg4PIdo,*******,*******,*******,*******,*******,*******,test,,50-59,"$70,000 - $89,000",4 or more,Yes,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree
2023-11-22 12:39:05,2023-11-22 12:39:05,Survey Test,*******,100,0,True,2023-11-22 12:39:05,R_3UABELONJYrLJlk,*******,*******,*******,*******,*******,*******,test,,30-39,"$90,000 - $109,000",1,No,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Somewhat disagree
2023-11-22 12:39:05,2023-11-22 12:39:05,Survey Test,*******,100,0,True,2023-11-22 12:39:06,R_3kqRcxIwbMnjMgu,*******,*******,*******,*******,*******,*******,test,,40-49,"$50,000 - $69,000",None,No,Somewhat agree,Strongly Disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly Disagree
2023-11-22 12:39:06,2023-11-22 12:39:06,Survey Test,*******,100,0,True,2023-11-22 12:39:06,R_3qLLmPYTh52v2Bg,*******,*******,*******,*******,*******,*******,test,,21-29,"$50,000 - $69,000",4 or more,No,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree
2023-11-22 12:39:06,2023-11-22 12:39:06,Survey Test,*******,100,0,True,2023-11-22 12:39:06,R_e4zhobjuI2On0lo,*******,*******,*******,*******,*******,*******,test,,18-20,"$0 - $9,999",3,Yes,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
2023-11-22 12:39:06,2023-11-22 12:39:06,Survey Test,*******,100,0,True,2023-11-22 12:39:06,R_eUM84GsZoGM3q3c,*******,*******,*******,*******,*******,*******,test,,30-39,"$0 - $9,999",1,Yes,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
2023-11-22 12:39:06,2023-11-22 12:39:06,Survey Test,*******,100,0,True,2023-11-22 12:39:06,R_74obfcxux60M4SO,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$0 - $9,999",4 or more,Yes,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly Disagree
2023-11-22 12:39:07,2023-11-22 12:39:07,Survey Test,*******,100,0,True,2023-11-22 12:39:07,R_b2A12gKY5yJbRBk,*******,*******,*******,*******,*******,*******,test,,50-59,"$70,000 - $89,000",1,Yes,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree
2023-11-22 12:39:07,2023-11-22 12:39:07,Survey Test,*******,100,0,True,2023-11-22 12:39:07,R_1HevsqJAIHDDlK6,*******,*******,*******,*******,*******,*******,test,,40-49,"$30,000 - $49,000",4 or more,Yes,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
2023-11-22 12:39:07,2023-11-22 12:39:07,Survey Test,*******,100,0,True,2023-11-22 12:39:07,R_eyVEvtQuCyeojMa,*******,*******,*******,*******,*******,*******,test,,40-49,"$0 - $9,999",3,No,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree
2023-11-22 12:39:07,2023-11-22 12:39:07,Survey Test,*******,100,0,True,2023-11-22 12:39:07,R_8dzm2L2hMfErhEq,*******,*******,*******,*******,*******,*******,test,,18-20,"$10,000 - $29,000",2,Yes,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree
2023-11-22 12:39:07,2023-11-22 12:39:07,Survey Test,*******,100,0,True,2023-11-22 12:39:08,R_9nawOCH56Yj7Jlk,*******,*******,*******,*******,*******,*******,test,,21-29,"$70,000 - $89,000",3,Yes,Strongly agree,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
2023-11-22 12:39:08,2023-11-22 12:39:08,Survey Test,*******,100,0,True,2023-11-22 12:39:08,R_2uDMwR19qjMcB26,*******,*******,*******,*******,*******,*******,test,,60 or older,"$10,000 - $29,000",None,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree
2023-11-22 12:39:08,2023-11-22 12:39:08,Survey Test,*******,100,0,True,2023-11-22 12:39:08,R_b2iBVMIs6Ng84tw,*******,*******,*******,*******,*******,*******,test,,40-49,"$110,000 or more",None,No,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly Disagree,Somewhat disagree
2023-11-22 12:39:08,2023-11-22 12:39:08,Survey Test,*******,100,0,True,2023-11-22 12:39:08,R_0xFuoJ9NoonvMnc,*******,*******,*******,*******,*******,*******,test,,40-49,"$30,000 - $49,000",2,No,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2023-11-22 12:39:08,2023-11-22 12:39:08,Survey Test,*******,100,0,True,2023-11-22 12:39:09,R_bmejxHsgdkjbYMK,*******,*******,*******,*******,*******,*******,test,,18-20,"$0 - $9,999",2,No,Strongly agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
2023-11-22 12:39:09,2023-11-22 12:39:09,Survey Test,*******,100,0,True,2023-11-22 12:39:09,R_3elieEbqp67dpL8,*******,*******,*******,*******,*******,*******,test,,50-59,"$30,000 - $49,000",1,No,Somewhat disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
2023-11-22 12:39:09,2023-11-22 12:39:09,Survey Test,*******,100,0,True,2023-11-22 12:39:09,R_8votweseaOF13mK,*******,*******,*******,*******,*******,*******,test,,30-39,"$50,000 - $69,000",4 or more,Yes,Neither agree nor disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree
2023-11-22 12:57:29,2023-11-22 12:57:29,Survey Test,*******,100,0,True,2023-11-22 12:57:30,R_3jxqfa2jTuUEq90,*******,*******,*******,*******,*******,*******,test,,60 or older,"$110,000 or more",3,No,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
2023-11-22 12:57:30,2023-11-22 12:57:30,Survey Test,*******,100,0,True,2023-11-22 12:57:30,R_3Erf5RuVOh805wy,*******,*******,*******,*******,*******,*******,test,,60 or older,"$110,000 or more",1,Yes,Strongly agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly agree
2023-11-22 12:57:30,2023-11-22 12:57:30,Survey Test,*******,100,0,True,2023-11-22 12:57:30,R_8IIkHRJc5eFk4bI,*******,*******,*******,*******,*******,*******,test,,40-49,"$0 - $9,999",1,Yes,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Disagree
2023-11-22 12:57:30,2023-11-22 12:57:30,Survey Test,*******,100,0,True,2023-11-22 12:57:30,R_ehS68TRJDRSQuTI,*******,*******,*******,*******,*******,*******,test,,40-49,"$50,000 - $69,000",1,Yes,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
2023-11-22 12:57:30,2023-11-22 12:57:30,Survey Test,*******,100,0,True,2023-11-22 12:57:30,R_7QCrk2IGp2kf7mu,*******,*******,*******,*******,*******,*******,test,,60 or older,"$110,000 or more",3,No,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
2023-11-22 12:57:30,2023-11-22 12:57:30,Survey Test,*******,100,0,True,2023-11-22 12:57:31,R_0VWPCK6mtaUjfKe,*******,*******,*******,*******,*******,*******,test,,40-49,"$10,000 - $29,000",4 or more,No,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
2023-11-22 12:57:31,2023-11-22 12:57:31,Survey Test,*******,100,0,True,2023-11-22 12:57:31,R_eo0i3dfADJjTf26,*******,*******,*******,*******,*******,*******,test,,60 or older,"$70,000 - $89,000",2,No,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly Disagree,Somewhat disagree
2023-11-22 12:57:31,2023-11-22 12:57:31,Survey Test,*******,100,0,True,2023-11-22 12:57:31,R_5oRvwatyWLr2bNc,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$0 - $9,999",2,No,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
2023-11-22 12:57:31,2023-11-22 12:57:31,Survey Test,*******,100,0,True,2023-11-22 12:57:31,R_4ObfS1KS6OL37h4,*******,*******,*******,*******,*******,*******,test,,50-59,"$10,000 - $29,000",None,No,Strongly Disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree
2023-11-22 12:57:31,2023-11-22 12:57:31,Survey Test,*******,100,0,True,2023-11-22 12:57:31,R_b91s16McW4H6Kpg,*******,*******,*******,*******,*******,*******,test,,40-49,"$10,000 - $29,000",None,No,Somewhat disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Strongly agree
2023-11-22 12:57:31,2023-11-22 12:57:31,Survey Test,*******,100,0,True,2023-11-22 12:57:32,R_1MRN1FByFrJYSQm,*******,*******,*******,*******,*******,*******,test,,30-39,"$90,000 - $109,000",None,No,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree
2023-11-22 12:57:32,2023-11-22 12:57:32,Survey Test,*******,100,0,True,2023-11-22 12:57:32,R_8dLl2cBnc8xNQDc,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$10,000 - $29,000",4 or more,Yes,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly Disagree
2023-11-22 12:57:32,2023-11-22 12:57:32,Survey Test,*******,100,0,True,2023-11-22 12:57:32,R_aWBZU7JhKGUJpxs,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$30,000 - $49,000",3,Yes,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
2023-11-22 12:57:32,2023-11-22 12:57:32,Survey Test,*******,100,0,True,2023-11-22 12:57:32,R_bQQizGdYcCJW5oO,*******,*******,*******,*******,*******,*******,test,,30-39,"$110,000 or more",1,Yes,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly Disagree
2023-11-22 12:57:32,2023-11-22 12:57:32,Survey Test,*******,100,0,True,2023-11-22 12:57:32,R_26jRlAwuuqJSXcy,*******,*******,*******,*******,*******,*******,test,,60 or older,"$110,000 or more",3,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
2023-11-22 12:57:33,2023-11-22 12:57:33,Survey Test,*******,100,0,True,2023-11-22 12:57:33,R_3QWJitOdPORWR8i,*******,*******,*******,*******,*******,*******,test,,60 or older,"$50,000 - $69,000",None,No,Strongly agree,Somewhat disagree,Strongly agree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat agree
2023-11-22 12:57:33,2023-11-22 12:57:33,Survey Test,*******,100,0,True,2023-11-22 12:57:33,R_0GLDcnP6AJ0XGWq,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$110,000 or more",2,Yes,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
2023-11-22 12:57:33,2023-11-22 12:57:33,Survey Test,*******,100,0,True,2023-11-22 12:57:33,R_0HA2Az8OzPXuPL8,*******,*******,*******,*******,*******,*******,test,,50-59,"$70,000 - $89,000",None,Yes,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
2023-11-22 12:57:33,2023-11-22 12:57:33,Survey Test,*******,100,0,True,2023-11-22 12:57:33,R_cI985OEpjzIt9TE,*******,*******,*******,*******,*******,*******,test,,50-59,"$0 - $9,999",1,No,Strongly Disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
